"Source:","/Users/jensa/Dropbox/Kunder/Dragan/kontroller/kontroller/kontroller.sch"
"Date:","2021 July 01, Thursday 00:26:39"
"Tool:","Eeschema (5.1.9-0-10_14)"
"Component Count:","34"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C101","0.1uf ceramic","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","Kemet","C322C104K5R5TA"
"C102","100uf 50V","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm","~","","ECE-A1HN101U"
"C103","100uf 50V","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm","~","","ECE-A1HN101U"
"C104","100uf 50V","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm","~","","ECE-A1HN101U"
"C105","100uf 50V","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm","~","","ECE-A1HN101U"
"C106","0.1uf ceramic","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","Kemet","C322C104K5R5TA"
"C107","100uf 50V","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm","~","","ECE-A1HN101U"
"C108","100uf 50V","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm","~","","ECE-A1HN101U"
"C109","100uf 50V","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm","~","","ECE-A1HN101U"
"C110","100uf 50V","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm","~","","ECE-A1HN101U"
"C701","0.01uf ceramic","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","Kemet","10000PF"
"D201","D","Diode_THT:D_DO-15_P10.16mm_Horizontal","~","Littelfuse","SA5.0A"
"D701","D","Diode_THT:D_DO-15_P10.16mm_Horizontal","~","Littelfuse","SA5.0A"
"D801","D","Diode_THT:D_DO-15_P10.16mm_Horizontal","~","Littelfuse","SA5.0A"
"D901","D","Diode_THT:D_DO-15_P10.16mm_Horizontal","~","Littelfuse","SA5.0A"
"H101","MountingHole","MountingHole:MountingHole_4.3mm_M4_DIN965_Pad","~","",""
"H102","MountingHole","MountingHole:MountingHole_4.3mm_M4_DIN965_Pad","~","",""
"H103","MountingHole","MountingHole:MountingHole_4.3mm_M4_DIN965_Pad","~","",""
"H104","MountingHole","MountingHole:MountingHole_4.3mm_M4_DIN965_Pad","~","",""
"INDEX1","index_input","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","~","Phoenix","1729131"
"J701","XLR5","XLR:IO-XLR5-M-EH"," ~","IO Audio Technologies","IO-XLR5-M-EH"
"JP101","Jumper_3_Bridged12","Jumper:SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm","~","",""
"LinearActuator101","Screw_Terminal_01x05","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal","~","Phoenix","1729157"
"OUT201","24V_input","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~","Phoenix","1729128"
"OUT501","24V_input","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~","Phoenix","1729128"
"POWER5","5V_input","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~","Phoenix","1729128"
"POWER24","24V_input","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~","Phoenix","1729128"
"POWER801","24V_input","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~","Phoenix","1729128"
"R101","R3.9k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","",""
"R102","R10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","",""
"R701","R10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","",""
"U101","4N25","Package_DIP:DIP-6_W7.62mm","https://www.vishay.com/docs/83725/4n25.pdf","",""
"U102","L7805","Package_TO_SOT_THT:TO-220F-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","","DNP"
"XA101","Arduino_Micro_Socket","Arduino:Arduino_Micro_Socket","https://store.arduino.cc/arduino-micro","",""
