"Source:","/Users/jensa/Dropbox/Kunder/Dragan/generator/generator.sch"
"Date:","2021 July 01, Thursday 00:28:12"
"Tool:","Eeschema (5.1.9-0-10_14)"
"Component Count:","47"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"5V101","5V","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","",""
"5VINPUT101","5VINPUT","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~","Phoenix","1729128"
"24V101","24V","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","",""
"24VINPUT101","24VINPUT","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~","Phoenix","1729128"
"C201","CP","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm","~","Panasonic","ECE-A1HN101U"
"C202","CP","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm","~","Panasonic","ECE-A1HN101U"
"C301","CP","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm","~","Panasonic","ECE-A1HN101U"
"C302","CP","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm","~","Panasonic","ECE-A1HN101U"
"C401","CP","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm","~","Panasonic","ECE-A1HN101U"
"C402","CP","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm","~","Panasonic","ECE-A1HN101U"
"C501","CP","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm","~","Panasonic","ECE-A1HN101U"
"C502","CP","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm","~","Panasonic","ECE-A1HN101U"
"C601","CP","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm","~","Panasonic","ECE-A1HN101U"
"C602","CP","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm","~","Panasonic","ECE-A1HN101U"
"D201","D","Diode_THT:D_DO-15_P10.16mm_Horizontal","~","LittelFuse","SA5.0A"
"D202","LED","LED_THT:LED_D5.0mm","~","any","any"
"D301","D","Diode_THT:D_DO-15_P10.16mm_Horizontal","~","LittelFuse","SA5.0A"
"D302","LED","LED_THT:LED_D5.0mm","~","any","any"
"D401","D","Diode_THT:D_DO-15_P10.16mm_Horizontal","~","LittelFuse","SA5.0A"
"D402","LED","LED_THT:LED_D5.0mm","~","any","any"
"D501","D","Diode_THT:D_DO-15_P10.16mm_Horizontal","~","LittelFuse","SA5.0A"
"D502","LED","LED_THT:LED_D5.0mm","~","any","any"
"D601","D","Diode_THT:D_DO-15_P10.16mm_Horizontal","~","LittelFuse","SA5.0A"
"D602","LED","LED_THT:LED_D5.0mm","~","any","any"
"GND101","GND","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","",""
"GND5101","GND5","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","",""
"H101","MountingHole","MountingHole:MountingHole_4.3mm_M4_DIN965_Pad","~","",""
"H102","MountingHole","MountingHole:MountingHole_4.3mm_M4_DIN965_Pad","~","",""
"H103","MountingHole","MountingHole:MountingHole_4.3mm_M4_DIN965_Pad","~","",""
"H104","MountingHole","MountingHole:MountingHole_4.3mm_M4_DIN965_Pad","~","",""
"H105","Image","images:globe","~","",""
"R201","4.7R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","any","any"
"R301","4.7R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","any","any"
"R401","4.7R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","any","any"
"R501","4.7R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","any","any"
"R601","4.7R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","any","any"
"Signals101","Signal","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal","~","Phoenix","1729157"
"TestButton201","Button","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~","Phoenix","1729128"
"TestButton301","Button","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~","Phoenix","1729128"
"TestButton401","Button","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~","Phoenix","1729128"
"TestButton501","Button","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~","Phoenix","1729128"
"TestButton601","Button","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~","Phoenix","1729128"
"XLR201","XLR5","XLR:IO-XLR5-F-EH"," ~","IO Audio Technologies","IO-XLR5-F-EH"
"XLR301","XLR5","XLR:IO-XLR5-F-EH"," ~","IO Audio Technologies","IO-XLR5-F-EH"
"XLR401","XLR5","XLR:IO-XLR5-F-EH"," ~","IO Audio Technologies","IO-XLR5-F-EH"
"XLR501","XLR5","XLR:IO-XLR5-F-EH"," ~","IO Audio Technologies","IO-XLR5-F-EH"
"XLR601","XLR5","XLR:IO-XLR5-F-EH"," ~","IO Audio Technologies","IO-XLR5-F-EH"
